Rx_Number,Path_Power_dBm,Interaction_Description,Total_Interactions_for_Path,Interaction_Coordinates
1,-68.9085,Tx-D-T-R-T-Rx,6,"1 -6 1, -5.60442 -7.52618 1.00036, -5.57997 -7.58984 1.00035, -5.15071 -8.70726 1.00017, -5.54188 -9.72554 1.00002, -5.58725 -9.84364 1"
1,-69.194,Tx-D-R-T-R-T-Rx,7,"1 -6 1, -5.59647 -6.97688 0.999999, -5.61647 -7.03904 0.999999, -5.43917 -7.59013 0.999999, -5.15072 -8.48675 0.999999, -5.54925 -9.72552 1, -5.58725 -9.84364 1"
1,-69.2367,Tx-R-D-T-R-T-Rx,7,"1 -6 1, 5.65853 -6.3761 1, -5.60166 -7.28516 0.999999, -5.49592 -7.59001 0.999999, -5.15072 -8.58518 0.999999, -5.54628 -9.72553 1, -5.58725 -9.84364 1"
1,-69.3667,Tx-D-R-T-R-T-Rx,7,"1 -6 1, -5.59647 -6.74224 0.999999, -5.61647 -6.8095 0.999999, -5.38429 -7.59024 0.999999, -5.15072 -8.37569 0.999999, -5.55212 -9.72551 1, -5.58725 -9.84364 1"
1,-69.5847,Tx-D-R-T-T-Rx,6,"1 -6 1, -3.11391 -7.40549 1.00004, -3.69165 -6.3366 1.00003, -5.15072 -9.036 1.00001, -5.52344 -9.72557 1, -5.58725 -9.84364 1"
1,-69.5887,Tx-R-D-T-R-T-Rx,7,"1 -6 1, -3.51095 -7.04199 0.0997569, -5.60404 -7.52547 0.517471, -5.57933 -7.58985 0.530871, -5.15071 -8.70642 0.763286, -5.54191 -9.72552 0.975414, -5.58725 -9.84364 1"
1,-69.7122,Tx-D-R-T-T-Rx,6,"1 -6 1, -5.16344 -7.59025 1.00176, -5.27505 -6.3366 1.00129, -5.38665 -7.59024 1.00083, -5.57673 -9.72546 1.00004, -5.58725 -9.84364 1"
1,-69.7369,Tx-D-R-T-T-R-Rx,7,"1 -6 1, -2.44539 -7.40513 1.00015, -3.19275 -6.3366 1.00011, -5.15072 -9.13597 1.00002, -5.56305 -9.72549 1, -5.61647 -9.80187 1, -5.58725 -9.84364 1"
1,-69.9269,Tx-R-D-R-T-T-R-Rx,8,"1 -6 1, -3.07518 -7.41959 0.999997, -3.11275 -7.40651 0.999997, -3.63936 -6.3366 0.999996, -5.15076 -9.40729 0.999999, -5.30756 -9.72585 0.999999, -5.47639 -10.0689 1, -5.58725 -9.84364 1"
1,-70.0569,Tx-D-T-R-T-R-R-Rx,8,"1 -6 1, -5.60166 -7.28516 1.00008, -5.51836 -7.58997 1.00008, -5.15071 -8.93516 1.0001, -5.36682 -9.72585 1.00011, -5.46057 -10.0689 1.00011, -5.55442 -9.72551 1.00012, -5.58725 -9.84364 1"
1,-70.419,Tx-D-R-T-R-T-Rx,7,"1 -6 1, -5.16344 -7.59025 1.00176, -5.28423 -6.3366 1.00129, -5.405 -7.5902 1.00083, -5.60468 -9.66275 1.00007, -5.59864 -9.72541 1.00004, -5.58725 -9.84364 1"
1,-70.7845,Tx-D-T-T-R-Rx,6,"1 -6 1, -5.60166 -7.28516 1, -5.6002 -7.5898 1, -5.58998 -9.72543 1, -5.58833 -10.0689 1, -5.58725 -9.84364 1"
1,-71.0704,Tx-D-R-T-T-Rx,6,"1 -6 1, -5.59647 -6.69224 0.999996, -5.59562 -6.3366 0.999995, -5.59263 -7.58981 0.999997, -5.58753 -9.72544 1, -5.58725 -9.84364 1"
1,-71.1462,Tx-R-D-T-R-T-R-Rx,8,"1 -6 1, 5.65853 -6.3761 1, -5.60166 -7.28516 0.999999, -5.48895 -7.59003 0.999999, -5.15072 -8.50487 0.999999, -5.60197 -9.72541 1, -5.61647 -9.76462 1, -5.58725 -9.84364 1"
1,-71.2055,Tx-R-D-R-T-T-Rx,7,"1 -6 1, 0.370605 -7.40635 1.30327, -2.0638 -1.9668 2.47627, -2.07285 -1.94646 2.47248, -5.15071 -8.8627 1.1829, -5.53471 -9.72556 1.02202, -5.58725 -9.84364 1"
1,-71.3823,Tx-R-D-R-T-T-Rx,7,"1 -6 1, 0.275947 -7.40635 0.994847, -1.21314 -4.51405 0.984249, -2.28156 -1.96885 0.988096, -5.15071 -8.80372 0.998428, -5.53768 -9.72554 0.999821, -5.58725 -9.84364 1"
1,-71.4796,Tx-D-R-T-T-Rx,6,"1 -6 1, -5.59647 -6.92688 0.999996, -5.59514 -6.3366 0.999995, -5.59232 -7.58982 0.999997, -5.58752 -9.72544 1, -5.58725 -9.84364 1"
1,-71.5743,Tx-D-T-R-T-R-R-Rx,8,"1 -6 1, -5.60404 -7.52555 1.00024, -5.58202 -7.58984 1.00024, -5.15071 -8.84903 1.00013, -5.451 -9.72573 1.00005, -5.56854 -10.0689 1.00002, -5.61647 -9.92893 1.00001, -5.58725 -9.84364 1"
1,-71.5833,Tx-D-R-T-T-Rx,6,"1 -6 1, -2.44539 -7.40513 1.00013, -3.17911 -6.3366 1.0001, -5.15079 -9.20801 1.00002, -5.50621 -9.72561 1, -5.58725 -9.84364 1"
1,-71.7081,Tx-R-D-R-T-T-R-R-Rx,9,"1 -6 1, -2.41091 -7.41959 1.00014, -2.44356 -7.406 1.00014, -3.12477 -6.3366 1.00011, -5.15075 -9.51712 1.00002, -5.28371 -9.72585 1.00002, -5.50221 -10.0689 1.00001, -5.61647 -9.8895 1, -5.58725 -9.84364 1"
1,-72.3566,Tx-R-D-R-R-T-T-R-Rx,9,"1 -6 1, -3.07361 -7.41959 0.220085, -3.11383 -7.40558 0.212386, -3.38887 -6.84664 0.0997569, -3.63985 -6.3366 0.202532, -5.15077 -9.40708 0.821258, -5.30758 -9.72574 0.885472, -5.47642 -10.0689 0.954614, -5.58725 -9.84364 1"
1,-72.5102,Tx-D-T-T-R-Rx,6,"1 -6 1, -3.09087 -6.3366 0.999999, -5.15072 -9.16419 1, -5.55962 -9.7255 1, -5.61647 -9.80353 1, -5.58725 -9.84364 1"
